Name	Age	Nationality	Club	Joined
L. Messi	31	Argentina	FC Barcelona	2004-07-01
Cristiano Ronaldo	33	Portugal	Juventus	2018-07-10
Neymar Jr	26	Brazil	Paris Saint-Germain	2017-08-03
De Gea	27	Spain	Manchester United	2011-07-01
K. De Bruyne	27	Belgium	Manchester City	2015-08-30
E. Hazard	27	Belgium	Chelsea	2012-07-01
L. Modrić	32	Croatia	Real Madrid	2012-08-01
L. Suárez	31	Uruguay	FC Barcelona	2014-07-11
Sergio Ramos	32	Spain	Real Madrid	2005-08-01
J. Oblak	25	Slovenia	Atlético Madrid	2014-07-16
R. Lewandowski	29	Poland	FC Bayern München	2014-07-01
T. Kroos	28	Germany	Real Madrid	2014-07-17
D. Godín	32	Uruguay	Atlético Madrid	2010-08-04
David Silva	32	Spain	Manchester City	2010-07-14
N. Kanté	27	France	Chelsea	2016-07-16
P. Dybala	24	Argentina	Juventus	2015-07-01
H. Kane	24	England	Tottenham Hotspur	2010-07-01
A. Griezmann	27	France	Atlético Madrid	2014-07-28
M. ter Stegen	26	Germany	FC Barcelona	2014-07-01
T. Courtois	26	Belgium	Real Madrid	2018-08-09
Sergio Busquets	29	Spain	FC Barcelona	2008-09-01
E. Cavani	31	Uruguay	Paris Saint-Germain	2013-07-16
M. Neuer	32	Germany	FC Bayern München	2011-07-01
S. Agüero	30	Argentina	Manchester City	2011-07-28
G. Chiellini	33	Italy	Juventus	2005-07-01
K. Mbappé	19	France	Paris Saint-Germain	2018-07-01
M. Salah	26	Egypt	Liverpool	2017-07-01
Casemiro	26	Brazil	Real Madrid	2013-07-11
J. Rodríguez	26	Colombia	FC Bayern München	NA
L. Insigne	27	Italy	Napoli	2010-07-01
Isco	26	Spain	Real Madrid	2013-07-03
C. Eriksen	26	Denmark	Tottenham Hotspur	2013-08-30
Coutinho	26	Brazil	FC Barcelona	2018-01-06
P. Aubameyang	29	Gabon	Arsenal	2018-01-31
M. Hummels	29	Germany	FC Bayern München	2016-07-01
Marcelo	30	Brazil	Real Madrid	2007-01-01
G. Bale	28	Wales	Real Madrid	2013-09-02
H. Lloris	31	France	Tottenham Hotspur	2012-08-01
G. Higuaín	30	Argentina	Milan	NA
Thiago Silva	33	Brazil	Paris Saint-Germain	2012-07-01
S. Handanovič	33	Slovenia	Inter	2012-07-01
G. Buffon	40	Italy	Paris Saint-Germain	2018-07-06
S. Umtiti	24	France	FC Barcelona	2016-07-12
M. Icardi	25	Argentina	Inter	2013-07-09
K. Koulibaly	27	Senegal	Napoli	2014-07-01
P. Pogba	25	France	Manchester United	2016-08-09
